date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:40	624/624	---M--	200	added ('OK')	image/gif	etag:%2213e24fbde855c31:b18%22	www.buffalonews.com/images/go4.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/go4.gif	(from www.buffalonews.com/editorial/20040430/1052988.asp)
10:50:40	866/866	---M--	200	added ('OK')	image/gif	etag:%22a9fcd3f4ca3fc21:b18%22	www.buffalonews.com/images/redesign/tools_bg.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/tools_bg.gif	(from www.buffalonews.com/editorial/20040430/1052988.asp)
10:50:40	506/506	---M--	200	added ('OK')	image/gif	etag:%226917818adc55c21:b18%22	www.buffalonews.com/images/zoom_in.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/zoom_in.gif	(from www.buffalonews.com/editorial/20040430/1052988.asp)
10:50:41	2061/2061	---M--	200	added ('OK')	image/gif	etag:%22fe657f7835ac21:b18%22	www.buffalonews.com/images/redesign/tile_disp_ads.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/tile_disp_ads.gif	(from www.buffalonews.com/editorial/20040430/1052988.asp)
10:50:42	285/285	---M--	200	added ('OK')	image/gif	etag:%22bc932289a5f6c11:b18%22	www.buffalonews.com/images/redesign/bottom_top.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/bottom_top.gif	(from www.buffalonews.com/editorial/20040430/1052988.asp)
10:50:42	9550/9550	---M--	200	added ('OK')	image/jpeg	etag:%225f3244ef812ec41:b18%22	www.buffalonews.com/graphics/2004/04/30/0430haick.jpg	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/graphics/2004/04/30/0430haick.jpg	(from www.buffalonews.com/editorial/20040430/1052988.asp)
10:50:43	6087/6087	---M--	200	added ('OK')	image/gif	etag:%22a8fbb57a24c31:b18%22	www.buffalonews.com/images/subfooter.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/subfooter.gif	(from www.buffalonews.com/editorial/20040430/1052988.asp)
10:50:43	5434/5434	---M--	200	added ('OK')	image/gif	etag:%226b6a9ea71442c21:b18%22	www.buffalonews.com/images/redesign/logo1.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/logo1.gif	(from www.buffalonews.com/includes/bnfunction.js)
10:50:44	4762/4762	---M--	200	added ('OK')	image/gif	etag:%22c16258a81442c21:b18%22	www.buffalonews.com/images/redesign/logo2.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/logo2.gif	(from www.buffalonews.com/includes/bnfunction.js)
10:50:45	5350/5350	---M--	200	added ('OK')	image/gif	etag:%225e5cf3a81442c21:b18%22	www.buffalonews.com/images/redesign/logo4.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/logo4.gif	(from www.buffalonews.com/includes/bnfunction.js)
10:50:46	46005/46005	---M--	200	added ('OK')	image/jpeg	etag:%22b01d15f1812ec41:b18%22	www.buffalonews.com/graphics/2004/04/30/actualsize/0430haick.jpg	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/graphics/2004/04/30/actualsize/0430haick.jpg	(from www.buffalonews.com/editorial/20040430/1052988.asp)
10:50:46	5237/5237	---M--	200	added ('OK')	image/gif	etag:%22a1453da91442c21:b18%22	www.buffalonews.com/images/redesign/logo5.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/logo5.gif	(from www.buffalonews.com/includes/bnfunction.js)
10:50:46	5229/5229	---M--	200	added ('OK')	image/gif	etag:%22406e41a71442c21:b18%22	www.buffalonews.com/images/redesign/logo6.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/logo6.gif	(from www.buffalonews.com/includes/bnfunction.js)
10:50:46	621/621	---M--	200	added ('OK')	image/gif	etag:%22b7e06cde92cc21:b18%22	www.buffalonews.com/images/redesign/nav_cityregion_d_over.gif	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/images/redesign/nav_cityregion_d_over.gif	(from www.buffalonews.com/includes/bnfunction.js)
10:50:50	166245/166245	---M--	200	added ('OK')	application/pdf	etag:%22f44df4cbbe2ec41:b18%22	www.buffalonews.com/editorial/20040430/pdf/1052988.pdf	C:/My%20Web%20Sites/Net%20Gambling/www.buffalonews.com/editorial/20040430/pdf/1052988.pdf	(from www.buffalonews.com/editorial/20040430/1052988.asp)
